id,source_json,json_path,raw,normalized,resolved,has_windows_separator,exists,status,detail
promoted_training_scale_seed_handoff.json:$.receipt_check.receipt_path,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.receipt_check.receipt_path,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.receipt_check_outputs.json,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.receipt_check_outputs.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.receipt_check_outputs.text,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.receipt_check_outputs.text,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.embedded_receipt_check.receipt_path,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.embedded_receipt_check.receipt_path,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.embedded_receipt_check.receipt_check_json,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.embedded_receipt_check.receipt_check_json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.embedded_receipt_check.receipt_check_text,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.embedded_receipt_check.receipt_check_text,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.embedded_receipt_check.embedded_check.receipt_path,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.embedded_receipt_check.embedded_check.receipt_path,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.embedded_receipt_check.embedded_check_outputs.json,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.embedded_receipt_check.embedded_check_outputs.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.json,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.embedded_receipt_check.embedded_check_outputs.text,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.embedded_receipt_check.embedded_check_outputs.text,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,d\448\解释\receipt-check\promoted_training_scale_seed_handoff_automation_receipt_check.txt,True,True,pass,Archived path resolves on this platform.
promoted_training_scale_seed_handoff.json:$.embedded_receipt_check.receipt_path_resolved,D:\aiproj\d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff.json,$.embedded_receipt_check.receipt_path_resolved,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,d\448\解释\promoted-handoff\promoted_training_scale_seed_handoff_automation_receipt.json,True,True,pass,Archived path resolves on this platform.
