one_term_seed_run_id,case,term,seed,scaffold_prompt,source_continuation_hit_count,training_status,checkpoint_exists,one_term_line_count,one_term_repeat,generation_seed,prompt_hit_count,generated_hit_count,continuation_hit_count,prompt_truncated,generated_preview,continuation_preview,checkpoint_path
01-fixed-seed-493,comparison-baseline,fixed,493,fixed:,1,pass,True,400,200,493,1,1,1,False,fixed:fixed:fixed:,fixed:fixed:,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\01-fixed-seed-493\checkpoint.pt
01-fixed-seed-1493,comparison-baseline,fixed,1493,fixed:,1,pass,True,400,200,1493,1,1,1,False,fixed:fixed\nfixed\n,fixed\nfixed\n,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\01-fixed-seed-1493\checkpoint.pt
01-fixed-seed-2493,comparison-baseline,fixed,2493,fixed:,1,pass,True,400,200,2493,1,1,1,False,fixed:fixed:fixed:,fixed:fixed:,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\01-fixed-seed-2493\checkpoint.pt
02-text-seed-493,continuation-science,text,493,text:,1,pass,True,400,200,493,1,1,1,False,text:text\ntext\nte,text\ntext\nte,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\02-text-seed-493\checkpoint.pt
02-text-seed-1493,continuation-science,text,1493,text:,1,pass,True,400,200,1493,1,1,0,False,text:tetetetexxte,tetetetexxte,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\02-text-seed-1493\checkpoint.pt
02-text-seed-2493,continuation-science,text,2493,text:,1,pass,True,400,200,2493,1,1,1,False,text:textextextex,textextextex,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\02-text-seed-2493\checkpoint.pt
03-loss-seed-493,factual-val-loss,loss,493,loss:,1,pass,True,400,200,493,1,1,1,False,loss:loss\nloss\nlo,loss\nloss\nlo,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\03-loss-seed-493\checkpoint.pt
03-loss-seed-1493,factual-val-loss,loss,1493,loss:,1,pass,True,400,200,1493,1,1,1,False,loss:losss\nlololo,losss\nlololo,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\03-loss-seed-1493\checkpoint.pt
03-loss-seed-2493,factual-val-loss,loss,2493,loss:,1,pass,True,400,200,2493,1,1,1,False,loss:lossss\nlolol,lossss\nlolol,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\03-loss-seed-2493\checkpoint.pt
04-four-seed-493,structured-experiment-json,four,493,four:,1,pass,True,400,200,493,1,1,1,False,four:four\nfour\nfo,four\nfour\nfo,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\04-four-seed-493\checkpoint.pt
04-four-seed-1493,structured-experiment-json,four,1493,four:,1,pass,True,400,200,1493,1,1,1,False,four:four\nfour\nfo,four\nfour\nfo,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\04-four-seed-1493\checkpoint.pt
04-four-seed-2493,structured-experiment-json,four,2493,four:,1,pass,True,400,200,2493,1,1,1,False,four: four:four:f, four:four:f,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\04-four-seed-2493\checkpoint.pt
05-chain-seed-493,summary-evidence-chain,chain,493,chain:,1,pass,True,400,200,493,1,1,1,False,chain:chain\nchain\n,chain\nchain\n,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\05-chain-seed-493\checkpoint.pt
05-chain-seed-1493,summary-evidence-chain,chain,1493,chain:,1,pass,True,400,200,1493,1,1,1,False,chain:chain:chain:,chain:chain:,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\05-chain-seed-1493\checkpoint.pt
05-chain-seed-2493,summary-evidence-chain,chain,2493,chain:,1,pass,True,400,200,2493,1,1,1,False,chain: chain:chain, chain:chain,e\493\解释\model-capability-required-term-one-term-seed-stability\one-term-seed-runs\05-chain-seed-2493\checkpoint.pt
