pair_id,pair_terms,term,case,scaffold_prompt,generation_seed,training_status,checkpoint_exists,prompt_hit_count,generated_hit_count,continuation_hit_count,prompt_truncated,generated_preview,continuation_preview,checkpoint_path
01-fixed-loss,"[""fixed"", ""loss""]",fixed,comparison-baseline,fixed:,494,pass,True,1,1,1,False,fixed: fixed: fixe, fixed: fixe,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\01-fixed-loss\checkpoint.pt
01-fixed-loss,"[""fixed"", ""loss""]",loss,factual-val-loss,loss:,495,pass,True,1,1,0,False,loss: fixed: fixe, fixed: fixe,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\01-fixed-loss\checkpoint.pt
02-fixed-four,"[""fixed"", ""four""]",fixed,comparison-baseline,fixed:,495,pass,True,1,1,0,False,fixed:four\nfour\nfo,four\nfour\nfo,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\02-fixed-four\checkpoint.pt
02-fixed-four,"[""fixed"", ""four""]",four,structured-experiment-json,four:,496,pass,True,1,1,1,False,four:four\nfour\nfo,four\nfour\nfo,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\02-fixed-four\checkpoint.pt
03-fixed-chain,"[""fixed"", ""chain""]",fixed,comparison-baseline,fixed:,496,pass,True,1,1,1,False,fixed: fixed: fixe, fixed: fixe,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\03-fixed-chain\checkpoint.pt
03-fixed-chain,"[""fixed"", ""chain""]",chain,summary-evidence-chain,chain:,497,pass,True,1,1,0,False,chain: fixed: fixe, fixed: fixe,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\03-fixed-chain\checkpoint.pt
04-loss-four,"[""loss"", ""four""]",loss,factual-val-loss,loss:,497,pass,True,1,1,1,False,loss: losssssssss, losssssssss,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\04-loss-four\checkpoint.pt
04-loss-four,"[""loss"", ""four""]",four,structured-experiment-json,four:,498,pass,True,1,1,0,False,four: losssssssss, losssssssss,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\04-loss-four\checkpoint.pt
05-loss-chain,"[""loss"", ""chain""]",loss,factual-val-loss,loss:,498,pass,True,1,1,0,False,loss: chain: chai, chain: chai,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\05-loss-chain\checkpoint.pt
05-loss-chain,"[""loss"", ""chain""]",chain,summary-evidence-chain,chain:,499,pass,True,1,1,1,False,chain:  chain: cha,  chain: cha,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\05-loss-chain\checkpoint.pt
06-four-chain,"[""four"", ""chain""]",four,structured-experiment-json,four:,499,pass,True,1,1,0,False,four: chain\nchain, chain\nchain,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\06-four-chain\checkpoint.pt
06-four-chain,"[""four"", ""chain""]",chain,summary-evidence-chain,chain:,500,pass,True,1,1,1,False,chain: chain\nchain, chain\nchain,e\494\解释\model-capability-required-term-pair-curriculum\pair-runs\06-four-chain\checkpoint.pt
