id,status,actual,detail
source_paths_present,pass,1,decision index must record source decision paths
status,pass,"{""rebuilt"": ""pass"", ""source"": ""pass""}",status must match when rebuilt from source decisions
decision,pass,"{""rebuilt"": ""model_capability_route_promotion_decision_index_ready"", ""source"": ""model_capability_route_promotion_decision_index_ready""}",decision must match when rebuilt from source decisions
failed_count,pass,"{""rebuilt"": 0, ""source"": 0}",failed_count must match when rebuilt from source decisions
decision_index_ready,pass,"{""rebuilt"": true, ""source"": true}",decision_index_ready must match when rebuilt from source decisions
accepted_route_count,pass,"{""rebuilt"": 1, ""source"": 1}",accepted_route_count must match when rebuilt from source decisions
route_ids,pass,"{""rebuilt"": [""objective_level_contrast""], ""source"": [""objective_level_contrast""]}",route_ids must match when rebuilt from source decisions
boundary,pass,"{""rebuilt"": ""tiny_required_term_pair_probe_only"", ""source"": ""tiny_required_term_pair_probe_only""}",boundary must match when rebuilt from source decisions
model_quality_claim,pass,"{""rebuilt"": ""seed_stable_pair_probe_route_accepted"", ""source"": ""seed_stable_pair_probe_route_accepted""}",model_quality_claim must match when rebuilt from source decisions
entries,pass,"{""rebuilt"": [{""boundary"": ""tiny_required_term_pair_probe_only"", ""entry_status"": ""accepted"", ""model_quality_claim"": ""seed_stable_pair_probe_route_accepted"", ""review_scope"": ""bounded_route_promotion_review_only"", ""route_id"": ""objective_level_contrast""}], ""source"": [{""boundary"": ""tiny_required_term_pair_probe_only"", ""entry_status"": ""accepted"", ""model_quality_claim"": ""seed_stable_pair_probe_route_accepted"", ""review_scope"": ""bounded_route_promotion_review_only"", ""route_id"": ""objective_level_contrast""}]}",entries must match when rebuilt from source decisions
