example_id,case_id,example_mode,completion,direct_completion,guardrail
canonical_direct_completion-direct_prompt_completion-01,canonical_direct_completion,direct_prompt_completion,fixed loss,True,bounded_objective_contract_direct_seed
canonical_direct_completion-direct_prompt_completion-02,canonical_direct_completion,direct_prompt_completion,fixed loss,True,bounded_objective_contract_direct_seed
canonical_direct_completion-direct_prompt_completion-03,canonical_direct_completion,direct_prompt_completion,fixed loss,True,bounded_objective_contract_direct_seed
canonical_direct_completion-direct_prompt_completion-04,canonical_direct_completion,direct_prompt_completion,fixed loss,True,bounded_objective_contract_direct_seed
canonical_direct_completion-direct_prompt_completion-05,canonical_direct_completion,direct_prompt_completion,fixed loss,True,bounded_objective_contract_direct_seed
canonical_direct_completion-direct_prompt_completion-06,canonical_direct_completion,direct_prompt_completion,fixed loss,True,bounded_objective_contract_direct_seed
minimal_direct_completion-minimal_surface_repeat-01,minimal_direct_completion,minimal_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
minimal_direct_completion-minimal_surface_repeat-02,minimal_direct_completion,minimal_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
minimal_direct_completion-minimal_surface_repeat-03,minimal_direct_completion,minimal_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
minimal_direct_completion-minimal_surface_repeat-04,minimal_direct_completion,minimal_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
minimal_direct_completion-minimal_surface_repeat-05,minimal_direct_completion,minimal_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
minimal_direct_completion-minimal_surface_repeat-06,minimal_direct_completion,minimal_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
completion_label_surface-label_surface_repeat-01,completion_label_surface,label_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
completion_label_surface-label_surface_repeat-02,completion_label_surface,label_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
completion_label_surface-label_surface_repeat-03,completion_label_surface,label_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
completion_label_surface-label_surface_repeat-04,completion_label_surface,label_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
completion_label_surface-label_surface_repeat-05,completion_label_surface,label_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
completion_label_surface-label_surface_repeat-06,completion_label_surface,label_surface_repeat,fixed loss,True,bounded_objective_contract_direct_seed
