example_id,case_id,example_mode,completion,prompt_contains_target_terms,decoder_anchor_used,guardrail
canonical_direct_completion-contract_prompt_unassisted_completion-01,canonical_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
canonical_direct_completion-neutral_prompt_unassisted_completion-01,canonical_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
canonical_direct_completion-contract_prompt_unassisted_completion-02,canonical_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
canonical_direct_completion-neutral_prompt_unassisted_completion-02,canonical_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
canonical_direct_completion-contract_prompt_unassisted_completion-03,canonical_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
canonical_direct_completion-neutral_prompt_unassisted_completion-03,canonical_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
canonical_direct_completion-contract_prompt_unassisted_completion-04,canonical_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
canonical_direct_completion-neutral_prompt_unassisted_completion-04,canonical_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-contract_prompt_unassisted_completion-01,minimal_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-neutral_prompt_unassisted_completion-01,minimal_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-contract_prompt_unassisted_completion-02,minimal_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-neutral_prompt_unassisted_completion-02,minimal_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-contract_prompt_unassisted_completion-03,minimal_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-neutral_prompt_unassisted_completion-03,minimal_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-contract_prompt_unassisted_completion-04,minimal_direct_completion,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
minimal_direct_completion-neutral_prompt_unassisted_completion-04,minimal_direct_completion,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
completion_label_surface-contract_prompt_unassisted_completion-01,completion_label_surface,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
completion_label_surface-neutral_prompt_unassisted_completion-01,completion_label_surface,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
completion_label_surface-contract_prompt_unassisted_completion-02,completion_label_surface,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
completion_label_surface-neutral_prompt_unassisted_completion-02,completion_label_surface,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
completion_label_surface-contract_prompt_unassisted_completion-03,completion_label_surface,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
completion_label_surface-neutral_prompt_unassisted_completion-03,completion_label_surface,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
completion_label_surface-contract_prompt_unassisted_completion-04,completion_label_surface,contract_prompt_unassisted_completion,fixed loss,True,False,bounded_objective_unassisted_repair_seed
completion_label_surface-neutral_prompt_unassisted_completion-04,completion_label_surface,neutral_prompt_unassisted_completion,fixed loss,False,False,bounded_objective_unassisted_repair_seed
