version,evidence_dir,has_summary,screenshot_count,report_dir_count,json_count,csv_count,markdown_count,html_count,status,recommendation
v1133,D:/aiproj/f/1133,True,1,1,1,1,1,1,pass,ready
v1132,D:/aiproj/f/1132,True,1,1,1,1,1,1,pass,ready
v1131,D:/aiproj/f/1131,True,1,1,1,1,1,1,pass,ready
v1130,D:/aiproj/f/1130,True,1,1,1,1,1,1,pass,ready
v1129,D:/aiproj/f/1129,True,1,1,1,1,1,1,pass,ready
v1128,D:/aiproj/f/1128,True,1,1,1,1,1,1,pass,ready
v1127,D:/aiproj/f/1127,True,1,1,1,1,1,1,pass,ready
v1126,D:/aiproj/f/1126,True,1,1,1,1,1,1,pass,ready
v1125,D:/aiproj/f/1125,True,1,1,1,1,1,1,pass,ready
v1124,D:/aiproj/f/1124,True,1,1,1,1,1,1,pass,ready
v1123,D:/aiproj/f/1123,True,1,1,1,1,1,1,pass,ready
v1122,D:/aiproj/f/1122,True,1,1,1,1,1,1,pass,ready
