scheme,eval_length,within_loss_mean,within_loss_std,beyond_loss_mean,beyond_loss_std,beyond_minus_within_mean,beyond_minus_within_std,within_token_count,beyond_token_count,window_count
learned,32,0.777587,0.001299,,,,,11407,0,357
rope,32,0.778322,0.001236,,,,,11407,0,357
learned,48,0.777369,0.001246,0.88878,0.021885,0.111411,0.02075,7615,3792,238
rope,48,0.778104,0.001263,0.77845,0.001691,0.000346,0.001361,7615,3792,238
learned,64,0.7754,0.001575,0.896204,0.028077,0.120804,0.027416,5711,5696,179
rope,64,0.776116,0.001337,0.78006,0.001111,0.003944,0.000855,5711,5696,179
learned,96,0.777194,0.001171,0.901388,0.027064,0.124194,0.026568,3808,7599,119
rope,96,0.777981,0.001145,0.777611,0.001228,-0.00037,0.000442,3808,7599,119
learned,128,0.773802,0.001554,0.896117,0.019263,0.122316,0.01908,2863,8544,90
rope,128,0.774469,0.001317,0.778674,0.001074,0.004205,0.000888,2863,8544,90
