arm,budget_forward_passes,opt_steps,pref_acc_mean,pref_acc_std,exact_match_mean,exact_match_std,mean_logp_chosen,mean_logp_rejected,delta_logp_chosen,delta_logp_rejected,mean_margin,confusable_error_rate,param_l2_delta,logp_drift,dpo_last_loss
sft_init,0,0,0.969568,0.028826,0.587786,0.175199,-1.350072,-15.616328,0.0,0.0,14.266256,0.016277,0.0,0.0,
dpo_with_ref,240,120,0.994338,0.009806,0.211832,0.099512,-10.42429,-60.541945,-9.074217,-44.925617,50.117659,0.000708,15.421966,9.393542,0.085845
dpo_with_ref,720,360,0.991507,0.005617,0.145038,0.063093,-18.008967,-86.058828,-16.658895,-70.442499,68.049857,0.0,22.947171,16.929626,0.017159
dpo_with_ref,1600,800,0.995754,0.004246,0.10369,0.057263,-28.090259,-114.238571,-26.740186,-98.622243,86.148308,0.0,28.976102,26.88935,0.002989
dpo_no_ref,240,120,0.990092,0.01365,0.217557,0.100114,-11.047248,-56.934315,-9.697176,-41.317986,45.887065,0.000708,15.010732,10.014653,0.065548
dpo_no_ref,720,360,0.987261,0.013922,0.13486,0.119139,-20.132195,-83.688728,-18.782122,-68.0724,63.556531,0.001415,23.861388,18.997393,0.019713
dpo_no_ref,1600,800,0.991507,0.006369,0.141221,0.077941,-26.338535,-110.914241,-24.988462,-95.297912,84.575706,0.000708,28.059155,25.196186,0.002958
sft_on_chosen,240,240,0.980184,0.021687,0.714377,0.16357,-0.922814,-19.86108,0.427259,-4.244751,18.938267,0.010616,12.825562,0.816987,
sft_on_chosen,720,720,0.982307,0.018057,0.740458,0.153848,-0.909268,-23.978071,0.440805,-8.361742,23.068803,0.008493,22.484395,0.984019,
sft_on_chosen,1600,1600,0.990092,0.010034,0.75827,0.140008,-0.877171,-25.977237,0.472901,-10.360909,25.100066,0.005662,33.559231,1.105887,
