size,n_layer,n_embd,params,arm,steps,em_mean,em_std,delta_vs_scratch
1L/16,1,16,3776,scratch_hard,700,0.122222,0.040158,0.0
1L/16,1,16,3776,label_smooth,700,0.100556,0.054659,-0.021667
1L/16,1,16,3776,distill_tau1_hw0,700,0.116111,0.049355,-0.006111
2L/24,2,24,15192,scratch_hard,700,0.806111,0.073372,0.0
2L/24,2,24,15192,label_smooth,700,0.831667,0.030149,0.025556
2L/24,2,24,15192,distill_tau1_hw0,700,0.730556,0.086736,-0.075556
2L/32,2,32,26400,scratch_hard,700,0.772778,0.111118,0.0
2L/32,2,32,26400,label_smooth,700,0.782778,0.077912,0.01
2L/32,2,32,26400,shuffled_teacher,700,0.761111,0.032691,-0.011667
2L/32,2,32,26400,distill_tau1_hw0,700,0.756667,0.101162,-0.016111
2L/32,2,32,26400,distill_tau1_hw05,700,0.836111,0.043033,0.063333
2L/32,2,32,26400,distill_tau2_hw0,700,0.803333,0.056465,0.030556
2L/32,2,32,26400,distill_tau2_hw05,700,0.787778,0.142571,0.015
2L/32,2,32,26400,scratch_long,2485,0.948889,0.033483,0.176111
3L/48,3,48,86304,scratch_hard,700,0.876667,0.063422,0.0
3L/48,3,48,86304,label_smooth,700,0.872778,0.095104,-0.003889
3L/48,3,48,86304,distill_tau1_hw0,700,0.792222,0.073922,-0.084444
4L/64,4,64,201920,scratch_hard,700,0.867222,0.039645,0.0
4L/64,4,64,201920,label_smooth,700,0.822222,0.052374,-0.045
4L/64,4,64,201920,distill_tau1_hw0,700,0.811111,0.084277,-0.056111
