sweep,component,granularity,bits,eff_bits,ce_mean,dce_mean,kl_mean,em_mean,relerr_mean
S1,all,per_tensor,8,8.0014,0.080932,7.9e-05,9.4e-05,0.881111,0.014098
S1,all,per_tensor,6,6.0014,0.083875,0.003022,0.001815,0.878333,0.057744
S1,all,per_tensor,4,4.0014,0.097258,0.016405,0.030221,0.852778,0.255251
S1,all,per_tensor,3,3.0014,0.539784,0.458931,0.489815,0.465,0.553261
S1,all,per_tensor,2,2.0014,5.039588,4.958735,4.975965,0.0,0.953035
S1,all,per_channel_row,8,8.1878,0.081116,0.000263,3.6e-05,0.883333,0.006622
S1,all,per_channel_row,6,6.1878,0.080865,1.2e-05,0.000849,0.881667,0.027113
S1,all,per_channel_row,4,4.1878,0.091388,0.010535,0.011153,0.864444,0.119958
S1,all,per_channel_row,3,3.1878,0.167595,0.086742,0.089207,0.76,0.279432
S1,all,per_channel_row,2,2.1878,3.013654,2.932801,2.938791,0.023889,0.73873
S1,all,group32,8,8.5,0.080992,0.000139,2.9e-05,0.881667,0.005534
S1,all,group32,6,6.5,0.081697,0.000844,0.000588,0.88,0.022662
S1,all,group32,4,4.5,0.090183,0.00933,0.009255,0.865,0.100249
S1,all,group32,3,3.5,0.145139,0.064286,0.07137,0.792778,0.234023
S1,all,group32,2,2.5,2.095955,2.015102,2.025453,0.058333,0.656614
S2,embedding,per_tensor,4,4.0192,0.089886,0.009033,0.012586,0.861667,0.156857
S2,embedding,per_tensor,3,3.0192,0.188319,0.107465,0.131521,0.728889,0.371465
S2,embedding,per_channel_row,4,4.25,0.086856,0.006003,0.006307,0.872222,0.108307
S2,embedding,per_channel_row,3,3.25,0.119875,0.039022,0.042549,0.816667,0.253301
S2,c_attn,per_tensor,4,4.0013,0.08913,0.008277,0.013585,0.855556,0.249319
S2,c_attn,per_tensor,3,3.0013,0.229694,0.148841,0.164181,0.700556,0.546625
S2,c_attn,per_channel_row,4,4.25,0.086648,0.005795,0.00445,0.866111,0.106458
S2,c_attn,per_channel_row,3,3.25,0.105992,0.025139,0.026024,0.843889,0.248573
S2,c_proj,per_tensor,4,4.0039,0.081142,0.000289,0.003681,0.875556,0.182852
S2,c_proj,per_tensor,3,3.0039,0.092004,0.011151,0.016828,0.866111,0.422504
S2,c_proj,per_channel_row,4,4.25,0.081418,0.000565,0.001353,0.876667,0.113151
S2,c_proj,per_channel_row,3,3.25,0.08791,0.007056,0.006783,0.868333,0.263303
S2,mlp,per_tensor,4,4.001,0.081226,0.000372,0.002329,0.873889,0.276201
S2,mlp,per_tensor,3,3.001,0.096913,0.01606,0.021847,0.851667,0.589746
S2,mlp,per_channel_row,4,4.1562,0.081061,0.000208,0.000639,0.881111,0.13159
S2,mlp,per_channel_row,3,3.1562,0.086635,0.005782,0.004275,0.867222,0.306227
S2,attention,per_tensor,4,4.002,0.088157,0.007304,0.016111,0.857222,0.236299
S2,attention,per_tensor,3,3.002,0.245753,0.1649,0.186575,0.672222,0.521888
S2,attention,per_channel_row,4,4.25,0.086926,0.006073,0.005642,0.865,0.107971
S2,attention,per_channel_row,3,3.25,0.113166,0.032313,0.033193,0.835,0.251884
S2,all,per_tensor,4,4.0014,0.097258,0.016405,0.030221,0.852778,0.255251
S2,all,per_tensor,3,3.0014,0.539784,0.458931,0.489815,0.465,0.553261
S2,all,per_channel_row,4,4.1878,0.091388,0.010535,0.011153,0.864444,0.119958
S2,all,per_channel_row,3,3.1878,0.167595,0.086742,0.089207,0.76,0.279432
S3,c_attn:absmax_sym,per_channel_row,4,4.25,0.086648,0.005795,0.00445,0.866111,0.106458
S3,c_attn:absmax_sym,per_channel_row,3,3.25,0.105992,0.025139,0.026024,0.843889,0.248573
S3,c_attn:absmax_sym,per_channel_col,4,4.0833,0.083213,0.00236,0.00942,0.880556,0.15383
S3,c_attn:absmax_sym,per_channel_col,3,3.0833,0.10408,0.023227,0.033574,0.828889,0.353579
