seed,weight_decay,memorized,grokked,t_mem,t_gen,grok_gap,val_at_mem,final_train_acc,final_val_acc,steps_run
1337,1.0,True,True,100,11400,11300,0.11119968444108963,1.0,0.965989,11600
1337,0.0,True,False,100,,,0.10960542410612106,1.0,0.139099,40000
1338,1.0,True,True,100,12700,12600,0.19516408443450928,1.0,0.951907,12900
1338,0.0,True,False,100,,,0.19476550817489624,1.0,0.19822,40000
1339,1.0,True,True,100,10500,10400,0.141490638256073,1.0,0.970772,11600
1339,0.0,True,False,100,,,0.14016208052635193,1.0,0.139631,40000
1340,1.0,True,True,100,14600,14500,0.15730038285255432,1.0,0.957885,14700
1340,0.0,True,False,100,,,0.16128604114055634,1.0,0.155175,40000
1341,1.0,True,True,100,25200,25100,0.12953367829322815,1.0,0.952836,25400
1341,0.0,True,False,100,,,0.12993223965168,1.0,0.165272,40000
