arm,acc_A,acc_A_std,forgetting,note
consolidated_A,0.9843,0.0054,0.0,plateau (A learned)
naive_sequential,0.0409,0.0054,0.9434,after B; acc_B=0.805
continue_on_A,0.9906,0.0,-0.0063,floor (no shift)
random_label_B,0.0472,0.0,0.9371,null: structure vs drift
wrong_replay_B,0.0535,0.0,0.9308,replay B not A (must still forget)
multitask_joint,0.8616,0.095,0.0,upper bound; acc_B=0.836
replay_buffer_0,0.0409,0.0,0.9434,= naive floor
replay_buffer_8,0.6226,0.0945,0.3616,A-train replay
replay_buffer_32,0.9214,0.0357,0.0629,A-train replay
replay_buffer_128,0.9465,0.025,0.0377,A-train replay
