method,knob,acc_A,acc_B,min_both
ewc,lambda=0e+00,0.0472,0.805,0.0472
ewc,lambda=3e+09,0.2767,0.5786,0.2767
ewc,lambda=1e+10,0.3899,0.3836,0.3836
ewc,lambda=3e+10,0.4434,0.3522,0.3522
ewc,lambda=4e+10,0.5283,0.3113,0.3113
ewc,lambda=4e+10,0.6195,0.3019,0.3019
ewc,lambda=5e+10,0.6258,0.3176,0.3176
ewc,lambda=6e+10,0.6321,0.2925,0.2925
ewc,lambda=1e+11,0.6541,0.2893,0.2893
ewc,lambda=3e+11,0.4371,0.283,0.283
replay,k=0,0.0472,0.805,0.0472
replay,k=4,0.5031,0.8176,0.5031
replay,k=8,0.7547,0.8113,0.7547
replay,k=16,0.8145,0.8113,0.8113
replay,k=32,0.8774,0.8113,0.8113
replay,k=64,0.8585,0.8113,0.8113
replay,k=128,0.9277,0.8176,0.8176
hybrid(ewc+replay),"lam=3e+10,k=8",,,0.1164
multitask_joint,upper bound,0.8616,0.8365,0.8365
