arm,overlap,forgetting,forgetting_std,accB_conflict_test,accB_conflict_train,emb_drift,learned
mix:1.000,1.0,-0.0019,0.014,,,2.817,True
mix:0.875,0.8849,0.1415,0.0411,0.1169,1.0,2.1846,True
mix:0.750,0.7604,0.3208,0.0298,0.1259,1.0,2.5221,True
mix:0.500,0.5321,0.6566,0.0739,0.2977,1.0,2.5617,True
mix:0.250,0.2792,0.8019,0.0371,0.5446,1.0,2.51,True
mix:0.000,0.0434,0.9377,0.0084,0.7903,1.0,2.6058,True
type:add_same,1.0,-0.0019,0.014,,,2.817,True
type:add_offset,0.0,0.9906,0.0094,1.0,1.0,3.2397,True
type:linear,0.0396,0.9491,0.0227,0.9287,1.0,3.2646,True
type:mul,0.0434,0.9377,0.0084,0.7903,1.0,2.6058,True
type:rand,0.0434,0.9566,0.0196,0.0433,1.0,2.971,True
