arm,depth,width,acc,acc_std,swap_follow,succ_attn_mass,layer0_prev_token
clean_depth1_width8,1,8,0.1062,0.0037,0.0969,0.1411,0.3413
clean_depth1_width16,1,16,0.1491,0.0017,0.1031,0.1588,0.3826
clean_depth1_width24,1,24,0.1601,0.0007,0.1125,0.1562,0.3743
clean_depth1_width32,1,32,0.1719,0.0061,0.0813,0.1722,0.4819
clean_depth1_width48,1,48,0.2,0.0016,0.1281,0.1842,0.6027
clean_depth1_width64,1,64,0.2107,0.0028,0.1094,0.1791,0.6666
clean_depth1_width96,1,96,0.2963,0.0205,0.1375,0.1587,0.712
clean_depth1_width128,1,128,0.4283,0.0053,0.2531,0.1157,0.8189
clean_depth2_width8,2,8,0.1086,0.008,0.0781,0.1259,0.2431
clean_depth2_width16,2,16,0.4895,0.2488,0.2625,1.0447,0.644
clean_depth2_width24,2,24,0.9975,0.0016,0.9125,2.7077,1.2201
clean_depth2_width32,2,32,0.9991,0.0007,0.9125,3.2166,1.537
clean_depth2_width48,2,48,0.9993,0.0003,0.9156,2.786,1.3577
clean_depth2_width64,2,64,0.9994,0.0001,0.9125,2.3331,1.4876
clean_depth2_width96,2,96,0.5449,0.0117,0.3187,0.1278,0.2717
clean_depth2_width128,2,128,0.606,0.0169,0.425,0.1243,0.2689
shortcut_1L_fixedoffset_width16,1,16,1.0,0.0,,,
shortcut_1L_fixedoffset_width32,1,32,1.0,0.0,,,
shortcut_1L_fixedoffset_width64,1,64,1.0,0.0,,,
attn_only_depth1_width24,1,24,0.1644,0.0009,,,
attn_only_depth1_width48,1,48,0.1668,0.0011,,,
attn_only_depth1_width96,1,96,0.1796,0.0012,,,
attn_only_depth2_width24,2,24,0.9366,0.0343,,,
attn_only_depth2_width48,2,48,0.9872,0.002,,,
attn_only_depth2_width96,2,96,0.9941,0.0048,,,
