id,status,actual,detail
release_packet_passed,pass,pass,release packet must pass
release_packet_ready,pass,"{""decision"": ""model_capability_route_promotion_release_packet_ready"", ""ready"": true}",release packet must be ready
release_packet_review_passed,pass,pass,release packet review must pass
release_packet_review_ready,pass,"{""decision"": ""model_capability_route_promotion_release_packet_review_ready"", ""ready"": true}",release packet review must be ready
governance_snapshot_passed,pass,pass,governance snapshot must pass
governance_snapshot_ready,pass,"{""decision"": ""model_capability_route_promotion_governance_snapshot_ready"", ""ready"": true}",governance snapshot must be ready
source_files_exist,pass,"[{""exists"": true, ""kind"": ""release_packet"", ""path"": ""e\\795\\解释\\model-capability-route-promotion-release-packet\\model_capability_route_promotion_release_packet.json""}, {""exists"": true, ""kind"": ""release_packet_review"", ""path"": ""e\\796\\解释\\model-capability-route-promotion-release-packet-review\\model_capability_route_promotion_release_packet_review.json""}, {""exists"": true, ""kind"": ""governance_snapshot"", ""path"": ""e\\800\\解释\\model-capability-route-promotion-governance-snapshot\\model_capability_route_promotion_governance_snapshot.json""}]",release readiness source files must exist
active_routes_align,pass,"{""active_routes"": [""objective_level_contrast""], ""aligned"": true, ""packet_routes"": [""objective_level_contrast""], ""review_routes"": [""objective_level_contrast""], ""route_count"": 1, ""snapshot_routes"": [""objective_level_contrast""]}","packet, review, and snapshot routes must align"
active_route_present,pass,1,summary requires at least one active route
boundary_scoped,pass,"[""tiny_required_term_pair_probe_only"", ""tiny_required_term_pair_probe_only"", ""tiny_required_term_pair_probe_only""]",all boundaries must be tiny_required_term_pair_probe_only
claim_consistent,pass,"[""seed_stable_pair_probe_route_accepted"", ""seed_stable_pair_probe_route_accepted"", ""seed_stable_pair_probe_route_accepted""]",all source claims must match
claim_bounded,pass,seed_stable_pair_probe_route_accepted,claim must remain pair-probe scoped
source_checks_clean,pass,"{""packet"": 0, ""review"": 0, ""snapshot"": 0}",source summaries must have no failed checks
downstream_policy_allowed,pass,"{""allowed"": true, ""allowed_scope"": ""bounded_model_capability_governance_only"", ""reason"": ""all accepted route cards are contract verified and boundary scoped"", ""route_ids"": [""objective_level_contrast""]}",governance snapshot must allow bounded downstream use
downstream_scope_bounded,pass,bounded_model_capability_governance_only,downstream scope must stay bounded to model capability governance
